"","beta","r","logm1","logm2","sensrate","prop"
"1",0.338096,0.426173,0.507827,1.79896,0.138699,0.283043
"2",0.30888,0.17604,0.291614,1.95963,0.135512,0.273721
"3",0.336146,0.146433,0.281463,3.53529,0.161182,0.278121
"4",0.342133,0.212143,1.2049,2.81671,0.171748,0.275435
"5",0.324569,0.384178,0.432693,2.46605,0.168445,0.259924
"6",0.327905,0.37009,0.417403,2.27082,0.162386,0.271791
"7",0.326363,0.404756,0.409253,2.46205,0.179046,0.292767
"8",0.307958,0.45421,0.33921,2.31935,0.165359,0.27847
"9",0.318556,0.433337,0.294494,1.87159,0.145955,0.338297
"10",0.340389,0.455379,0.0957768,4.16322,0.13318,0.420897
"11",0.340797,0.402308,0.397376,4.05295,0.141657,0.369785
"12",0.287961,0.389946,0.23956,2.30365,0.145577,0.266864
"13",0.331589,0.225736,0.415313,3.84585,0.164408,0.302571
"14",0.322717,0.160084,0.160459,4.8476,0.189089,0.253775
"15",0.322322,0.0795732,0.287087,5.08379,0.186858,0.270679
"16",0.266578,0.722682,0.149472,1.65921,0.169619,0.271106
"17",0.363957,0.147979,0.712741,4.69724,0.126103,0.329366
"18",0.25813,0.51051,0.384726,1.84824,0.158206,0.261554
"19",0.27145,0.533728,0.178157,1.82463,0.17167,0.252047
"20",0.239294,0.758293,0.151274,4.02317,0.161544,0.288596
"21",0.305568,0.543108,0.356814,2.48182,0.167512,0.291602
"22",0.289614,0.300839,0.0747265,3.43401,0.146675,0.313744
"23",0.3199,0.593784,0.138558,2.63669,0.152909,0.345672
"24",0.304602,0.471125,0.294198,2.6922,0.181337,0.294038
"25",0.38285,0.123037,1.90973,2.20363,0.133438,0.265617
"26",0.383087,0.134431,1.80411,2.06586,0.126786,0.261817
"27",0.376347,0.138726,1.5478,2.05404,0.125318,0.261138
"28",0.330393,0.403925,0.504887,2.40604,0.132118,0.349604
"29",0.305343,0.416212,0.378409,3.45624,0.111367,0.371068
"30",0.274977,0.623668,0.920673,2.4452,0.187499,0.226223
"31",0.277213,0.501222,1.30496,2.27572,0.184444,0.22467
"32",0.29201,0.358592,1.98382,2.85259,0.183119,0.209789
"33",0.335828,0.248577,0.596741,3.76361,0.22391,0.19815
"34",0.341626,0.275849,3.05164,1.78538,0.229434,0.185793
"35",0.347668,0.343303,0.489261,1.46932,0.210306,0.219601
"36",0.317041,0.229294,0.579115,0.77507,0.20391,0.233188
"37",0.364455,0.331505,0.963302,1.54777,0.211405,0.207882
"38",0.345762,0.289252,1.27446,1.38228,0.221103,0.218436
"39",0.35725,0.279047,1.23848,1.44494,0.186144,0.208342
"40",0.370207,0.284771,1.37257,1.64669,0.191627,0.234282
"41",0.366901,0.402698,1.50317,2.01359,0.152629,0.246621
"42",0.320355,0.200357,0.276872,6.11628,0.148855,0.334762
"43",0.336074,0.23746,0.27194,6.48574,0.154062,0.319693
"44",0.32625,0.184277,0.573379,4.16135,0.131664,0.28
"45",0.326033,0.393326,0.686333,2.39126,0.173914,0.266607
"46",0.323162,0.304744,1.05324,3.37521,0.161229,0.315082
"47",0.362526,0.314956,0.475382,4.7273,0.15634,0.325006
"48",0.356178,0.278681,1.2207,3.43974,0.150067,0.325545
"49",0.251091,0.608186,0.387884,3.47626,0.171209,0.262823
"50",0.344321,0.186624,1.10246,2.36996,0.173798,0.285216
"51",0.332608,0.327542,0.695958,2.3742,0.140732,0.256605
"52",0.298841,0.423468,1.20202,1.87898,0.184001,0.235162
"53",0.30379,0.400793,1.0636,2.56849,0.17764,0.246502
"54",0.310387,0.218327,0.0434499,3.28525,0.152294,0.313319
"55",0.32082,0.329829,0.132239,3.17461,0.155328,0.348004
"56",0.343262,0.253985,1.058,3.58977,0.127367,0.263208
"57",0.336571,0.275665,1.49573,2.94643,0.137796,0.273441
"58",0.325288,0.200909,0.563859,1.85118,0.140773,0.266113
"59",0.323978,0.40383,1.92684,3.78381,0.117341,0.287146
"60",0.332081,0.325709,0.462692,1.82188,0.117813,0.427378
"61",0.356261,0.268528,0.428372,2.1964,0.110645,0.393841
"62",0.351894,0.211638,0.558454,2.64797,0.135301,0.377246
"63",0.286143,0.346501,0.57909,2.38222,0.153361,0.269138
"64",0.345101,0.53789,0.967269,1.4244,0.157402,0.278358
"65",0.300091,0.355387,1.58262,5.00227,0.153933,0.249115
"66",0.342265,0.2719,0.42727,4.0186,0.180822,0.280836
"67",0.365356,0.363359,0.215089,2.86434,0.192655,0.289012
"68",0.32599,0.239807,0.833837,2.98451,0.191493,0.283422
"69",0.326842,0.251415,0.913671,3.44069,0.116549,0.32531
"70",0.302566,0.535187,0.265391,3.67866,0.163251,0.314678
"71",0.336179,0.166128,1.16255,2.73998,0.159134,0.265795
"72",0.313463,0.49388,0.112984,3.19901,0.145459,0.335818
"73",0.289726,0.575285,0.802186,7.11496,0.156293,0.313361
"74",0.289591,0.320532,0.23765,2.87498,0.149374,0.31583
"75",0.334534,0.257867,0.398677,3.60377,0.154084,0.306864
"76",0.349903,0.48913,1.02577,2.75141,0.14541,0.311962
"77",0.315034,0.333912,0.74114,3.38663,0.119272,0.332652
"78",0.340337,0.304651,1.08444,8.95158,0.126997,0.289856
"79",0.294401,0.312584,0.582616,4.98867,0.160665,0.290709
"80",0.355753,0.364908,1.32756,5.58257,0.148084,0.27361
"81",0.299116,0.191182,0.271241,4.03332,0.142136,0.309258
"82",0.343598,0.254841,0.661238,2.4965,0.140797,0.309052
"83",0.345514,0.233716,0.696702,2.22507,0.164163,0.28737
"84",0.338562,0.200576,1.29542,2.12119,0.165385,0.271656
"85",0.331601,0.308504,0.371982,3.46932,0.123169,0.328706
"86",0.352782,0.285736,0.068368,2.74619,0.133526,0.36519
"87",0.32297,0.406431,0.195279,2.25006,0.143174,0.381283
"88",0.330573,0.26211,0.0987426,1.94711,0.144621,0.323229
"89",0.314929,0.220333,0.106675,2.83728,0.140489,0.318063
"90",0.295957,0.388484,0.221818,2.68871,0.168849,0.282856
"91",0.312154,0.301133,0.396409,2.73887,0.178647,0.261513
"92",0.334405,0.439778,0.820881,2.1577,0.132867,0.320957
"93",0.320419,0.497119,0.511809,2.29939,0.142693,0.336266
"94",0.316576,0.44042,0.307136,2.07593,0.14472,0.303363
"95",0.341736,0.412467,0.540386,1.83815,0.137802,0.346742
"96",0.334544,0.258755,1.3077,2.36616,0.151666,0.276862
"97",0.334544,0.258755,1.3077,2.36616,0.151666,0.276862
"98",0.301012,0.393303,0.521573,3.66187,0.141005,0.259884
"99",0.348274,0.404021,0.402772,2.5484,0.144732,0.343608
"100",0.317145,0.199458,0.470747,6.27276,0.177171,0.300565
"101",0.313839,0.2609,0.318274,5.77071,0.178954,0.299132
"102",0.344452,0.370678,1.49369,2.37839,0.154804,0.206294
"103",0.383576,0.403379,2.71835,2.51313,0.153636,0.217188
"104",0.366903,0.233714,2.68873,1.97302,0.198861,0.204861
"105",0.323553,0.153713,0.271752,1.55131,0.168461,0.308074
"106",0.357603,0.156182,0.208452,2.87665,0.152078,0.29585
"107",0.31101,0.204598,1.15129,2.26855,0.164892,0.272995
"108",0.321931,0.280364,0.486583,2.26305,0.139806,0.25357
"109",0.336641,0.243872,0.613791,1.42886,0.160167,0.308248
"110",0.332701,0.345502,0.843026,2.74826,0.14052,0.3093
"111",0.328065,0.366782,1.11553,2.68633,0.167379,0.247402
"112",0.303278,0.351814,0.385063,3.54955,0.176278,0.255599
"113",0.342554,0.234824,0.404955,2.38716,0.132751,0.327517
"114",0.292614,0.394921,0.677566,3.7484,0.191456,0.244687
"115",0.317674,0.489422,1.47749,2.00804,0.184792,0.222547
"116",0.334082,0.44951,1.79835,2.66252,0.176531,0.224486
"117",0.32791,0.243601,0.0783625,4.09632,0.144411,0.308868
"118",0.277221,0.442356,0.473706,3.96458,0.135841,0.320829
"119",0.321429,0.122871,0.17613,2.73536,0.152448,0.275287
"120",0.379427,0.0421586,0.342266,2.0436,0.196395,0.270669
"121",0.372825,0.0411474,0.396462,2.15916,0.193505,0.274625
"122",0.369587,0.146993,1.22011,1.62027,0.19553,0.250753
"123",0.30304,0.390051,0.24007,4.57411,0.166024,0.263491
"124",0.348034,0.141423,0.709551,1.8786,0.182412,0.267614
"125",0.350727,0.124551,0.771375,1.89497,0.176508,0.256266
"126",0.268466,0.53624,0.213356,3.58112,0.145141,0.329253
"127",0.283554,0.408975,0.0457789,3.30596,0.140585,0.283829
"128",0.282332,0.485597,0.103055,2.25098,0.149113,0.296382
"129",0.31933,0.256644,0.226378,2.70214,0.147555,0.302899
"130",0.323077,0.279056,0.204301,2.19522,0.174173,0.317056
"131",0.308197,0.279431,0.153436,2.4994,0.175055,0.314729
"132",0.324629,0.229391,0.312246,4.11487,0.142973,0.357488
"133",0.338803,0.164766,0.320628,3.51198,0.140424,0.277706
"134",0.310809,0.178084,0.655284,3.62023,0.179143,0.26033
"135",0.314614,0.257048,0.290098,4.34627,0.176961,0.271687
"136",0.31338,0.632108,0.984435,1.99706,0.186558,0.268113
"137",0.374055,0.480984,1.98527,2.88678,0.152898,0.265167
"138",0.378217,0.552872,2.64222,3.00163,0.137955,0.252713
"139",0.235953,0.498429,0.109226,3.06518,0.199906,0.271227
"140",0.27444,0.616997,0.0938718,3.97775,0.211146,0.257164
"141",0.267048,0.566564,0.0840204,3.93869,0.202135,0.272179
"142",0.288866,0.405032,0.734797,2.31503,0.156315,0.270796
"143",0.291473,0.693711,0.677792,4.05963,0.14837,0.311892
"144",0.304435,0.631237,0.547882,3.40749,0.149503,0.307798
"145",0.311272,0.517533,1.12965,3.48918,0.127199,0.317722
"146",0.304427,0.350181,0.18905,4.92738,0.138006,0.327379
"147",0.348802,0.353467,1.03769,1.75361,0.163502,0.251782
"148",0.379198,0.389608,0.988054,1.22478,0.17882,0.266657
"149",0.328922,0.173666,0.619884,2.00142,0.128429,0.249786
"150",0.322489,0.194001,1.11368,2.05153,0.134207,0.265268
"151",0.357762,0.314412,0.841549,4.34117,0.159852,0.336085
"152",0.28624,0.591841,0.279317,2.46184,0.15591,0.31514
"153",0.327313,0.460337,0.780545,3.9332,0.170827,0.278117
"154",0.31082,0.449809,0.609096,2.70526,0.167997,0.256981
"155",0.303861,0.264662,0.355273,1.41343,0.156715,0.234793
"156",0.308424,0.249794,0.397041,1.44697,0.155663,0.230421
"157",0.336422,0.360167,0.179487,3.24059,0.177993,0.327519
"158",0.319101,0.348639,0.241295,2.30594,0.177495,0.305715
"159",0.304992,0.326608,0.434902,2.91711,0.19283,0.23532
"160",0.318244,0.453105,0.334109,3.53091,0.11921,0.350697
"161",0.313483,0.424121,0.127918,3.74818,0.112789,0.329676
"162",0.29988,0.47763,0.18925,4.94007,0.131121,0.347464
"163",0.339707,0.198542,0.234076,2.59403,0.187123,0.268729
"164",0.331437,0.407529,1.33453,2.3888,0.155341,0.256738
"165",0.346825,0.305001,1.24413,3.21881,0.153063,0.285184
"166",0.309922,0.263611,0.157245,2.8882,0.193631,0.288793
"167",0.314852,0.334176,0.308531,2.41891,0.15261,0.263128
"168",0.296663,0.321548,0.678276,2.24023,0.158603,0.28346
"169",0.300899,0.396237,0.629323,2.79291,0.160159,0.255576
"170",0.304891,0.205598,0.542908,2.86045,0.156816,0.24982
"171",0.30725,0.206944,0.853531,2.33196,0.150024,0.243976
"172",0.311901,0.261169,0.85626,2.82548,0.15113,0.24836
"173",0.338415,0.408345,0.920243,4.41458,0.182481,0.285781
"174",0.342742,0.208029,0.430188,4.48578,0.142906,0.278462
"175",0.340386,0.228416,0.620014,2.70868,0.152723,0.362226
"176",0.335882,0.198106,0.937582,6.06693,0.127019,0.303607
"177",0.312978,0.41034,0.936858,5.82833,0.132353,0.268943
"178",0.289627,0.554304,0.667023,4.27678,0.186627,0.274547
"179",0.344003,0.210378,1.03661,3.40044,0.142414,0.273425
"180",0.330262,0.375006,0.22567,2.22123,0.157627,0.304113
"181",0.330758,0.229158,1.1874,5.43047,0.147603,0.269678
"182",0.328877,0.323695,0.853261,4.08871,0.149825,0.271939
"183",0.341278,0.304842,0.754647,3.8348,0.159754,0.261913
"184",0.328396,0.294616,0.938231,4.55444,0.184554,0.274825
"185",0.306847,0.307087,0.266142,1.47103,0.143378,0.260983
"186",0.291141,0.30683,0.225582,2.0018,0.143081,0.252331
"187",0.286038,0.390203,0.326495,3.36736,0.149947,0.281486
"188",0.343994,0.260733,0.579872,2.55227,0.149406,0.281166
"189",0.299684,0.395422,0.431692,4.05092,0.125316,0.322881
"190",0.299684,0.395422,0.431692,4.05092,0.125316,0.322881
"191",0.331789,0.490079,0.852254,3.26762,0.138482,0.304566
"192",0.302479,0.372361,0.534909,3.55976,0.148625,0.275641
"193",0.314572,0.490905,0.056153,2.39007,0.141625,0.374897
"194",0.312617,0.425831,0.0748116,2.34203,0.142029,0.373404
"195",0.359619,0.306824,1.0114,3.7221,0.17171,0.245344
"196",0.364101,0.319457,1.58712,4.12322,0.162763,0.253723
"197",0.294679,0.404595,0.404604,1.8252,0.141839,0.262195
"198",0.263402,0.670803,0.302565,3.79903,0.134384,0.34323
"199",0.271572,0.629172,0.652089,3.21732,0.191127,0.227668
"200",0.276304,0.715109,1.0071,2.83096,0.168243,0.22025
"201",0.267707,0.810654,0.945087,3.14716,0.176259,0.272137
"202",0.267976,0.485,0.31156,3.20155,0.176469,0.249088
"203",0.339607,0.466318,1.09122,3.60943,0.159801,0.247885
"204",0.306063,0.406185,0.0953334,3.55808,0.131285,0.316351
"205",0.29133,0.536742,0.609345,3.74298,0.164167,0.284672
"206",0.323965,0.419282,0.598008,2.07147,0.157746,0.262294
"207",0.29674,0.368736,0.405159,5.85208,0.144478,0.344664
"208",0.312497,0.355938,0.216359,2.32106,0.147365,0.284694
"209",0.306066,0.220706,0.307481,5.77869,0.212266,0.2631
"210",0.341731,0.113803,0.31117,8.3084,0.20153,0.243362
"211",0.326977,0.29383,1.71233,6.24132,0.162521,0.277458
"212",0.331151,0.425445,0.427598,3.88582,0.193357,0.262062
"213",0.32719,0.271898,1.6216,4.3553,0.158876,0.282405
"214",0.334018,0.222253,1.31659,4.03445,0.161809,0.257903
"215",0.34375,0.288105,1.53681,2.43898,0.147973,0.26537
"216",0.34375,0.288105,1.53681,2.43898,0.147973,0.26537
"217",0.339411,0.354638,0.716392,1.66472,0.132822,0.306082
"218",0.349538,0.33209,0.522373,1.73195,0.137566,0.304144
"219",0.307086,0.280532,0.829073,3.82737,0.139521,0.287478
"220",0.335257,0.292703,1.40984,4.29895,0.142469,0.284775
"221",0.294727,0.422719,0.370851,3.51445,0.163715,0.300402
"222",0.299707,0.578278,0.0485507,7.53399,0.102457,0.408951
"223",0.322389,0.433769,0.602042,2.20815,0.119296,0.377545
"224",0.329734,0.443633,0.480589,2.47789,0.11074,0.383361
"225",0.319849,0.251829,0.860757,3.37779,0.152466,0.275988
"226",0.314395,0.202474,1.3961,3.69696,0.128537,0.269924
"227",0.330133,0.5084,0.360445,2.20777,0.182758,0.27535
"228",0.322434,0.535057,0.291235,2.54942,0.181369,0.305138
"229",0.319242,0.516643,0.218684,3.04104,0.191513,0.288736
"230",0.313799,0.424151,0.435632,2.04977,0.191055,0.329583
"231",0.274156,0.385407,0.101685,3.35342,0.202587,0.292438
"232",0.303732,0.347165,0.10695,5.36879,0.173607,0.256602
"233",0.302368,0.60291,0.211754,2.32273,0.128957,0.32591
"234",0.300166,0.484076,0.127371,2.30523,0.129655,0.305194
"235",0.364315,0.414923,1.89343,5.03344,0.185322,0.253231
"236",0.292102,0.477071,0.113196,2.18674,0.186521,0.233786
"237",0.291711,0.478556,0.204271,2.05778,0.144874,0.257412
"238",0.293202,0.523396,0.205523,2.09705,0.146461,0.260006
"239",0.300174,0.348111,0.0437375,5.20241,0.182944,0.344376
"240",0.303635,0.258697,0.269544,3.08016,0.160202,0.229163
"241",0.306877,0.343359,0.735692,1.73292,0.224473,0.239394
"242",0.308785,0.318616,0.301362,1.99511,0.219295,0.237459
"243",0.342031,0.265167,0.811947,3.78476,0.117936,0.289577
"244",0.355825,0.216825,0.0567884,2.89392,0.139367,0.35061
"245",0.346845,0.298357,0.139218,2.49546,0.15878,0.390076
"246",0.285643,0.341335,0.498015,2.20212,0.120447,0.323746
"247",0.327502,0.694236,1.05245,3.5978,0.15851,0.270361
"248",0.318535,0.239568,0.202401,1.6292,0.141136,0.273627
"249",0.307735,0.677582,1.25547,4.67856,0.117057,0.357794
"250",0.310632,0.686251,1.06563,4.52433,0.121743,0.333392
"251",0.264408,0.596034,0.627321,2.17484,0.137106,0.323999
"252",0.247671,0.772996,0.811547,2.88165,0.123097,0.311347
"253",0.24929,0.786987,1.1247,2.55632,0.123679,0.302455
"254",0.262853,0.943802,0.115349,3.46411,0.183551,0.276273
"255",0.259375,0.972619,0.352868,1.95735,0.152394,0.310627
"256",0.266772,0.986257,1.49751,2.2655,0.146101,0.302106
"257",0.265039,0.967324,0.183408,3.51558,0.167282,0.287655
"258",0.348475,0.165885,0.518889,3.06542,0.166482,0.293859
"259",0.312462,0.441528,1.74006,3.24025,0.192831,0.240608
"260",0.321456,0.380463,1.20445,2.50706,0.209425,0.231203
"261",0.326453,0.197116,0.407805,3.54966,0.197543,0.248544
"262",0.306974,0.5209,0.295523,2.47864,0.141527,0.364859
"263",0.355738,0.164077,1.14269,3.49206,0.113189,0.327688
"264",0.31226,0.330403,0.169858,3.9447,0.192079,0.273228
"265",0.303972,0.478953,0.298574,4.20214,0.183815,0.291041
"266",0.339361,0.258648,0.62118,2.4593,0.149459,0.278906
"267",0.349342,0.507806,1.34327,2.45874,0.134781,0.319665
"268",0.310518,0.198221,0.0584254,7.35057,0.138461,0.319408
"269",0.30367,0.30342,0.0779927,6.31873,0.141057,0.279078
"270",0.339888,0.632902,0.80791,1.8275,0.157318,0.24742
"271",0.333272,0.629697,0.864356,1.54281,0.162799,0.262601
"272",0.281111,0.395799,0.412853,2.8161,0.143668,0.309928
"273",0.289048,0.348208,0.355801,2.68819,0.137187,0.279014
"274",0.27177,0.635904,0.629949,2.17999,0.167639,0.29973
"275",0.260348,0.559088,0.252567,6.63187,0.161979,0.247769
"276",0.310721,0.336381,0.147669,2.70122,0.18408,0.309476
"277",0.322818,0.188714,0.356842,3.80892,0.157223,0.305654
"278",0.321462,0.204731,0.184058,4.48497,0.154361,0.307768
"279",0.327233,0.263234,1.34939,4.20408,0.14959,0.240942
"280",0.300258,0.397736,0.331426,1.8686,0.175746,0.260024
"281",0.330908,0.424915,1.1526,5.57057,0.134809,0.280243
"282",0.347382,0.174424,0.313088,1.86918,0.15494,0.318816
"283",0.325771,0.439417,0.673782,2.44466,0.121906,0.302794
"284",0.306413,0.358619,1.00332,2.49915,0.128777,0.304611
"285",0.304622,0.252725,0.298993,2.78181,0.143168,0.300519
"286",0.3265,0.646796,0.928934,3.71364,0.156896,0.29583
"287",0.327025,0.37626,0.989151,2.59373,0.143139,0.285252
