# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 6
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 2454491356
# output
#   file = outputnotheta_norI2_jun26.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,params.8,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,blood.7,prop
# Adaptation terminated
# Step size = 0.418136
# Diagonal elements of inverse mass matrix:
# 0.0133717, 0.611689, 0.105808, 0.014638, 0.0164187, 0.28856
152.765,0.994319,0.418136,3,7,0,0.239294,0.151274,4.02317,0.161544,0.340514,0.758293,0.2057,0.235012,0.239294,0.239294,0.239294,0.239294,0.239294,0.758293,0.276089,0.276089,0.766341,0.766341,0.766341,0.766341,0.766341,0.288596
157.395,0.994494,0.418136,3,7,0,0.305568,0.356814,2.48182,0.167512,0.34475,0.543108,0.213868,0.280025,0.305568,0.305568,0.305568,0.305568,0.305568,0.543108,0.284678,0.284678,0.77856,0.77856,0.77856,0.77856,0.77856,0.291602
156.396,0.97804,0.418136,4,15,0,0.289614,0.0747265,3.43401,0.146675,0.376504,0.300839,0.268761,0.280272,0.289614,0.289614,0.289614,0.289614,0.289614,0.300839,0.254239,0.254239,0.732885,0.732885,0.732885,0.732885,0.732885,0.313744
154.892,0.903581,0.418136,3,7,0,0.3199,0.138558,2.63669,0.152909,0.424147,0.593784,0.278509,0.296995,0.3199,0.3199,0.3199,0.3199,0.3199,0.593784,0.26348,0.26348,0.74746,0.74746,0.74746,0.74746,0.74746,0.345672
157.294,0.998428,0.418136,4,15,0,0.304602,0.294198,2.6922,0.181337,0.348194,0.471125,0.226967,0.28397,0.304602,0.304602,0.304602,0.304602,0.304602,0.471125,0.304186,0.304186,0.804468,0.804468,0.804468,0.804468,0.804468,0.294038
153.703,0.980513,0.418136,4,15,0,0.38285,1.90973,2.20363,0.133438,0.308724,0.123037,0.0567081,0.340583,0.38285,0.38285,0.38285,0.38285,0.38285,0.123037,0.234231,0.234231,0.699088,0.699088,0.699088,0.699088,0.699088,0.265617
153.133,1,0.418136,2,3,0,0.383087,1.80411,2.06586,0.126786,0.303564,0.134431,0.0630641,0.334546,0.383087,0.383087,0.383087,0.383087,0.383087,0.134431,0.223977,0.223977,0.680525,0.680525,0.680525,0.680525,0.680525,0.261817
153.562,1,0.418136,1,1,0,0.376347,1.5478,2.05404,0.125318,0.302644,0.138726,0.0800548,0.328094,0.376347,0.376347,0.376347,0.376347,0.376347,0.138726,0.221694,0.221694,0.676274,0.676274,0.676274,0.676274,0.676274,0.261138
157.73,1,0.418136,3,7,0,0.330393,0.504887,2.40604,0.132118,0.430173,0.403925,0.199417,0.300601,0.330393,0.330393,0.330393,0.330393,0.330393,0.403925,0.232207,0.232207,0.695492,0.695492,0.695492,0.695492,0.695492,0.349604
156.423,0.990301,0.418136,3,7,0,0.305343,0.378409,3.45624,0.111367,0.463732,0.416212,0.209145,0.29571,0.305343,0.305343,0.305343,0.305343,0.305343,0.416212,0.199672,0.199672,0.632965,0.632965,0.632965,0.632965,0.632965,0.371068
155.484,0.883249,0.418136,4,15,0,0.274977,0.920673,2.4452,0.187499,0.256472,0.623668,0.10951,0.251134,0.274977,0.274977,0.274977,0.274977,0.274977,0.623668,0.312709,0.312709,0.815016,0.815016,0.815016,0.815016,0.815016,0.226223
155.466,0.959951,0.418136,3,7,0,0.277213,1.30496,2.27572,0.184444,0.254467,0.501222,0.0751755,0.248737,0.277213,0.277213,0.277213,0.277213,0.277213,0.501222,0.308497,0.308497,0.809861,0.809861,0.809861,0.809861,0.809861,0.22467
154.451,0.685023,0.418136,2,3,0,0.29201,1.98382,2.85259,0.183119,0.235455,0.358592,0.0401637,0.275162,0.29201,0.29201,0.29201,0.29201,0.29201,0.358592,0.306663,0.306663,0.80758,0.80758,0.80758,0.80758,0.80758,0.209789
151.742,0.885251,0.418136,3,7,0,0.335828,0.596741,3.76361,0.22391,0.220834,0.248577,0.184908,0.328037,0.335828,0.335828,0.335828,0.335828,0.335828,0.248577,0.36098,0.36098,0.866704,0.866704,0.866704,0.866704,0.866704,0.19815
148.638,1,0.418136,2,3,0,0.341626,3.05164,1.78538,0.229434,0.205541,0.275849,0.0161525,0.284324,0.341626,0.341626,0.341626,0.341626,0.341626,0.275849,0.368002,0.368002,0.87317,0.87317,0.87317,0.87317,0.87317,0.185793
152.51,1,0.418136,2,3,0,0.347668,0.489261,1.46932,0.210306,0.24795,0.343303,0.213148,0.267676,0.347668,0.347668,0.347668,0.347668,0.347668,0.343303,0.343355,0.343355,0.849344,0.849344,0.849344,0.849344,0.849344,0.219601
146.227,0.746921,0.418136,2,3,0,0.317041,0.579115,0.77507,0.20391,0.265514,0.229294,0.177668,0.170989,0.317041,0.317041,0.317041,0.317041,0.317041,0.229294,0.334902,0.334902,0.840417,0.840417,0.840417,0.840417,0.840417,0.233188
152.425,0.855173,0.418136,3,7,0,0.364455,0.963302,1.54777,0.211405,0.233045,0.331505,0.139087,0.286928,0.364455,0.364455,0.364455,0.364455,0.364455,0.331505,0.344796,0.344796,0.850826,0.850826,0.850826,0.850826,0.850826,0.207882
153.206,0.838644,0.418136,2,3,0,0.345762,1.27446,1.38228,0.221103,0.246458,0.289252,0.096669,0.258974,0.345762,0.345762,0.345762,0.345762,0.345762,0.289252,0.357383,0.357383,0.863294,0.863294,0.863294,0.863294,0.863294,0.218436
154.517,1,0.418136,4,15,0,0.35725,1.23848,1.44494,0.186144,0.233626,0.279047,0.10354,0.273025,0.35725,0.35725,0.35725,0.35725,0.35725,0.279047,0.310845,0.310845,0.812748,0.812748,0.812748,0.812748,0.812748,0.208342
155.304,0.976374,0.418136,3,7,0,0.370207,1.37257,1.64669,0.191627,0.266941,0.284771,0.0938304,0.298873,0.370207,0.370207,0.370207,0.370207,0.370207,0.284771,0.31836,0.31836,0.821763,0.821763,0.821763,0.821763,0.821763,0.234282
