"","beta","r","logm1","logm2","sensrate","prop"
"97",0.313145,0.262606,0.379787,6.12595,0.157808,0.294286
"98",0.32728,0.365572,0.96366,2.37123,0.141444,0.277561
"99",0.30866,0.27396,0.270137,2.68996,0.167526,0.297242
"100",0.319072,0.251607,0.639663,2.97673,0.161859,0.292453
"101",0.328499,0.177386,0.672405,3.20228,0.154195,0.302288
"102",0.328172,0.302681,0.87597,4.84807,0.178893,0.241767
"103",0.309444,0.333149,0.85653,3.92894,0.185166,0.245423
"104",0.32272,0.145696,0.234936,3.05699,0.182047,0.267025
"105",0.36669,0.201681,1.28939,3.07801,0.150349,0.261038
"106",0.348799,0.169568,0.831584,2.03449,0.174213,0.27192
"107",0.338058,0.213312,0.573057,2.70475,0.158679,0.248822
"108",0.324649,0.361217,0.321999,4.27248,0.148707,0.30224
"109",0.316561,0.202148,0.728479,4.99968,0.14209,0.298261
"110",0.336644,0.338855,0.182376,3.75891,0.13782,0.352192
"111",0.338568,0.316958,0.245256,2.91978,0.139582,0.351407
"112",0.33427,0.335995,0.376832,2.14619,0.158954,0.307002
"113",0.345989,0.316203,0.69873,1.60723,0.114137,0.333299
"114",0.298842,0.315431,0.148399,8.93858,0.163293,0.295422
"115",0.349768,0.209736,1.08134,2.22873,0.18625,0.271492
"116",0.35766,0.181175,0.332381,2.51852,0.154649,0.271147
"117",0.361262,0.169059,0.655382,2.28862,0.143616,0.256336
"118",0.323344,0.470479,0.37104,3.39701,0.184008,0.270155
"119",0.322814,0.419056,0.860531,2.78813,0.174543,0.294247
"120",0.322814,0.419056,0.860531,2.78813,0.174543,0.294247
"121",0.365535,0.309835,0.680335,2.91929,0.176551,0.297576
"122",0.365482,0.4618,1.04613,2.77647,0.166675,0.314427
"123",0.356529,0.413889,1.2914,2.03185,0.14436,0.276867
"124",0.343142,0.202998,0.522848,1.58687,0.164663,0.283277
"125",0.309804,0.466648,0.889589,3.81106,0.189714,0.240618
"126",0.299007,0.332661,0.774315,1.45975,0.151424,0.246632
"127",0.326034,0.394643,0.280327,5.88936,0.159969,0.324557
"128",0.322592,0.394977,0.248337,6.20369,0.147285,0.307965
"129",0.329226,0.358327,0.234683,4.1294,0.150721,0.318767
"130",0.319308,0.370394,0.595297,2.96241,0.149507,0.317136
"131",0.305615,0.25783,0.888953,2.66329,0.159365,0.27925
"132",0.301474,0.650244,0.352287,3.33154,0.129564,0.349529
"133",0.333125,0.202197,0.342588,3.38932,0.133653,0.303102
"134",0.357454,0.173345,0.683653,2.58634,0.149792,0.249938
"135",0.320052,0.170559,1.94022,3.6083,0.150243,0.256111
"136",0.325909,0.20153,0.887001,2.67125,0.137054,0.221203
"137",0.3555,0.226907,2.11135,2.32834,0.145416,0.261242
"138",0.332319,0.224844,1.58342,2.28314,0.175123,0.268551
"139",0.336952,0.210403,0.19021,3.01476,0.1482,0.241399
"140",0.308742,0.361651,0.458087,3.90967,0.157527,0.306773
"141",0.329309,0.245797,0.970847,3.1648,0.142533,0.309871
"142",0.323629,0.202115,1.15116,3.61308,0.12087,0.307933
"143",0.345018,0.282671,0.204716,2.76789,0.175577,0.316221
"144",0.300964,0.410551,0.199725,3.75443,0.154313,0.335877
"145",0.300814,0.279286,0.759943,5.15725,0.153434,0.250143
"146",0.335076,0.260921,0.303972,2.23595,0.184266,0.279303
"147",0.292628,0.304057,0.022007,2.91496,0.172354,0.26001
"148",0.280476,0.430048,0.0101925,2.59624,0.183915,0.279909
"149",0.32838,0.190176,0.162892,3.06156,0.158146,0.303017
"150",0.320544,0.298453,0.640571,5.40525,0.146164,0.304737
"151",0.35327,0.340001,1.08331,1.96825,0.123447,0.320963
"152",0.312902,0.227534,0.594165,4.6286,0.166387,0.255266
"153",0.326425,0.243982,0.789679,3.60536,0.155645,0.222539
"154",0.323733,0.271586,0.720742,1.63612,0.184239,0.238496
"155",0.272929,0.504974,1.20093,5.89407,0.189573,0.24209
"156",0.352978,0.159652,0.693618,5.08016,0.105894,0.384478
"157",0.328362,0.438691,0.513328,1.97379,0.138014,0.329037
"158",0.318922,0.206259,0.224698,2.45817,0.147456,0.296756
"159",0.30361,0.462106,0.0417535,5.18383,0.153457,0.311388
"160",0.302827,0.375782,0.495111,2.26694,0.143897,0.289577
"161",0.338893,0.401195,1.24827,3.48367,0.164404,0.299904
"162",0.344301,0.27643,0.366469,4.27762,0.171314,0.299675
"163",0.30778,0.375493,0.529617,3.48397,0.175208,0.277663
"164",0.337056,0.252572,1.44291,3.00367,0.159019,0.269481
"165",0.341497,0.258217,0.856933,3.82478,0.158844,0.268769
"166",0.327528,0.332384,0.855764,3.26541,0.166816,0.294741
"167",0.326453,0.302815,0.698269,2.71986,0.149137,0.280251
"168",0.334156,0.420588,0.300624,2.40046,0.136925,0.362242
"169",0.342827,0.2926,1.07288,2.81408,0.130898,0.304436
"170",0.331454,0.307125,0.782617,5.12159,0.117323,0.333707
"171",0.359569,0.304684,1.0261,1.83615,0.129843,0.280907
"172",0.335756,0.172222,0.459848,4.72105,0.167242,0.30923
"173",0.331857,0.261575,0.0552223,1.9699,0.124966,0.343853
"174",0.343417,0.153889,0.229607,3.84269,0.160808,0.323169
"175",0.376657,0.178665,0.774793,4.46297,0.162704,0.305244
"176",0.366962,0.157197,1.27895,4.98547,0.127271,0.31422
"177",0.325942,0.24482,0.0463095,2.3166,0.159456,0.29871
"178",0.322311,0.244885,0.0489857,2.07742,0.154125,0.292375
"179",0.314527,0.283941,0.0258809,1.87845,0.185165,0.267311
"180",0.323155,0.295354,0.20523,2.02517,0.151269,0.304086
"181",0.312998,0.36738,0.66326,4.20403,0.171217,0.295199
"182",0.292021,0.415188,0.513438,2.67854,0.139309,0.275724
"183",0.319627,0.270177,0.593895,3.91203,0.16579,0.296217
"184",0.320856,0.219313,0.756194,2.7777,0.147665,0.252702
"185",0.317014,0.217018,0.253306,2.14403,0.143726,0.24288
"186",0.32588,0.14467,0.519792,3.66731,0.170195,0.314123
"187",0.333866,0.303259,0.892007,2.34913,0.107591,0.285926
"188",0.34936,0.136466,0.673004,2.2754,0.121175,0.306955
"189",0.284064,0.516799,1.13884,2.95202,0.189822,0.224617
"190",0.359797,0.246076,0.659397,2.12493,0.135072,0.317944
"191",0.376973,0.220286,1.08545,1.98874,0.135121,0.32247
"192",0.290212,0.321389,0.414733,3.33031,0.181541,0.248431
"193",0.356626,0.284511,1.73169,2.62452,0.143157,0.266529
"194",0.317472,0.19154,0.59219,3.98366,0.177952,0.293069
"195",0.324681,0.441458,0.432742,2.86162,0.126207,0.306586
"196",0.30104,0.276191,0.367593,3.69472,0.179701,0.298112
"197",0.325806,0.349682,1.13103,2.95116,0.145931,0.305646
"198",0.337516,0.322528,0.895002,3.8548,0.133929,0.277975
"199",0.33662,0.32929,0.877737,3.10345,0.133268,0.283447
"200",0.315169,0.346888,0.690249,3.74342,0.136898,0.306343
"201",0.329006,0.354155,0.832775,4.39787,0.133692,0.301555
"202",0.326494,0.230692,0.922932,4.8198,0.147458,0.299833
"203",0.346135,0.312166,1.65558,3.23418,0.144739,0.261313
"204",0.347963,0.297648,1.10178,3.71029,0.143541,0.26112
"205",0.342517,0.176422,0.290509,2.13025,0.154012,0.318634
"206",0.330654,0.220103,0.347296,4.98712,0.148177,0.274434
"207",0.291003,0.259377,0.661013,4.52118,0.145712,0.297522
"208",0.278487,0.627292,0.478152,4.31941,0.180867,0.240314
"209",0.329324,0.30687,0.277894,4.53753,0.141981,0.274115
"210",0.32103,0.275868,0.605255,4.46587,0.144878,0.29094
"211",0.34542,0.284316,0.770818,1.99987,0.17815,0.245308
"212",0.339894,0.275761,0.886637,2.61001,0.176899,0.286748
"213",0.346512,0.251828,0.529232,2.19916,0.169718,0.276753
"214",0.331637,0.143902,0.287329,2.49046,0.155996,0.308191
"215",0.352001,0.113994,0.32602,2.21801,0.151573,0.308536
"216",0.359277,0.0826993,0.623825,4.122,0.142263,0.331393
"217",0.395395,0.0962384,1.15888,4.05249,0.137241,0.322012
"218",0.330172,0.304564,0.452883,1.85453,0.135926,0.3281
"219",0.352359,0.229775,1.20853,4.94174,0.190325,0.278406
"220",0.307569,0.349435,0.317998,6.04591,0.15486,0.288702
"221",0.333982,0.297148,0.997854,3.87415,0.151216,0.348563
"222",0.339975,0.361051,0.243403,5.60626,0.135399,0.3297
"223",0.329115,0.264115,0.392116,2.76747,0.136235,0.292401
"224",0.303514,0.288327,0.157211,3.57728,0.147682,0.339879
"225",0.336627,0.239138,1.38535,2.74715,0.152074,0.252286
"226",0.324874,0.341498,0.782935,2.65325,0.155887,0.29797
"227",0.354263,0.314663,0.574701,1.72877,0.153719,0.295605
"228",0.357296,0.44471,0.966327,6.44223,0.147991,0.309594
"229",0.319302,0.560588,0.982288,3.44272,0.13109,0.292765
"230",0.357383,0.0947211,0.432599,2.52829,0.135541,0.328809
"231",0.332705,0.289067,0.586152,3.37915,0.166531,0.284488
"232",0.345845,0.252558,1.06927,2.63118,0.160912,0.273534
"233",0.34422,0.171813,0.857435,3.65823,0.176871,0.24359
"234",0.34422,0.171813,0.857435,3.65823,0.176871,0.24359
"235",0.312034,0.302122,0.359663,2.86244,0.165138,0.318675
