# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 1596552506
# output
#   file = outputnotheta_norI2_3jun.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,params.8,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,blood.7,prop
# Adaptation terminated
# Step size = 0.354679
# Diagonal elements of inverse mass matrix:
# 0.00953172, 0.987204, 0.157232, 0.0161353, 0.0169729, 0.192843
157.784,0.968239,0.354679,3,7,0,0.312787,0.373056,2.68328,0.140018,0.32105,0.279021,0.215394,0.291412,0.312787,0.312787,0.312787,0.312787,0.312787,0.279021,0.244243,0.244243,0.716391,0.716391,0.716391,0.716391,0.716391,0.274613
151.96,0.786532,0.354679,2,3,0,0.292447,0.918736,2.11409,0.126347,0.276022,0.25518,0.116693,0.257136,0.292447,0.292447,0.292447,0.292447,0.292447,0.25518,0.223295,0.223295,0.67926,0.67926,0.67926,0.67926,0.67926,0.241204
157.542,0.992486,0.354679,3,7,0,0.328527,0.886923,4.56288,0.151015,0.304005,0.180997,0.135327,0.3251,0.328527,0.328527,0.328527,0.328527,0.328527,0.180997,0.260684,0.260684,0.743117,0.743117,0.743117,0.743117,0.743117,0.262143
156.197,0.861464,0.354679,4,15,0,0.362721,0.546885,1.70764,0.15045,0.397983,0.326193,0.209925,0.296962,0.362721,0.362721,0.362721,0.362721,0.362721,0.326193,0.259848,0.259848,0.741808,0.741808,0.741808,0.741808,0.741808,0.328327
157.636,0.934644,0.354679,3,7,0,0.317364,0.987247,3.93481,0.165507,0.296938,0.195439,0.11825,0.31116,0.317364,0.317364,0.317364,0.317364,0.317364,0.195439,0.281805,0.281805,0.774529,0.774529,0.774529,0.774529,0.774529,0.25691
156.214,0.889092,0.354679,3,7,0,0.299642,0.987107,3.10043,0.152541,0.288112,0.218203,0.111663,0.286149,0.299642,0.299642,0.299642,0.299642,0.299642,0.218203,0.262936,0.262936,0.74662,0.74662,0.74662,0.74662,0.74662,0.250322
156.351,0.999854,0.354679,3,7,0,0.342761,0.268696,3.39322,0.190122,0.340053,0.256154,0.261998,0.331244,0.342761,0.342761,0.342761,0.342761,0.342761,0.256154,0.316306,0.316306,0.819333,0.819333,0.819333,0.819333,0.819333,0.288268
157.407,0.992477,0.354679,2,3,0,0.333432,0.296265,3.4391,0.184921,0.33866,0.24575,0.247937,0.322731,0.333432,0.333432,0.333432,0.333432,0.333432,0.24575,0.309157,0.309157,0.810675,0.810675,0.810675,0.810675,0.810675,0.287275
158.707,0.999368,0.354679,3,7,0,0.333828,0.460823,2.5955,0.167056,0.344025,0.248471,0.210566,0.308921,0.333828,0.333828,0.333828,0.333828,0.333828,0.248471,0.284026,0.284026,0.77765,0.77765,0.77765,0.77765,0.77765,0.291089
154.547,0.917299,0.354679,3,7,0,0.30495,0.233937,4.10609,0.121807,0.387386,0.169538,0.241341,0.299926,0.30495,0.30495,0.30495,0.30495,0.30495,0.169538,0.21621,0.21621,0.665882,0.665882,0.665882,0.665882,0.665882,0.321171
156.995,0.908647,0.354679,4,11,0,0.290805,0.69986,3.01338,0.148209,0.387113,0.39656,0.14443,0.276519,0.290805,0.290805,0.290805,0.290805,0.290805,0.39656,0.256523,0.256523,0.736546,0.736546,0.736546,0.736546,0.736546,0.320985
156.831,0.976121,0.354679,3,7,0,0.284366,0.34971,5.65973,0.155921,0.332363,0.426833,0.200448,0.283375,0.284366,0.284366,0.284366,0.284366,0.284366,0.426833,0.267903,0.267903,0.754212,0.754212,0.754212,0.754212,0.754212,0.282773
157.912,0.992655,0.354679,3,7,0,0.328437,0.743531,1.98851,0.155731,0.310945,0.445493,0.15615,0.283475,0.328437,0.328437,0.328437,0.328437,0.328437,0.445493,0.267625,0.267625,0.753792,0.753792,0.753792,0.753792,0.753792,0.267245
157.4,0.927344,0.354679,4,15,0,0.294525,0.107719,3.37453,0.162642,0.361499,0.355785,0.264448,0.284442,0.294525,0.294525,0.294525,0.294525,0.294525,0.355785,0.277677,0.277677,0.768639,0.768639,0.768639,0.768639,0.768639,0.303368
156.03,0.978261,0.354679,3,7,0,0.293766,0.0625183,4.7251,0.144905,0.413115,0.395898,0.275962,0.29116,0.293766,0.293766,0.293766,0.293766,0.293766,0.395898,0.251594,0.251594,0.728596,0.728596,0.728596,0.728596,0.728596,0.338414
157.731,0.867611,0.354679,4,11,0,0.298548,0.367245,2.00214,0.153608,0.337008,0.39805,0.206786,0.25823,0.298548,0.298548,0.298548,0.298548,0.298548,0.39805,0.264509,0.264509,0.749043,0.749043,0.749043,0.749043,0.749043,0.286097
155.43,0.687475,0.354679,3,7,0,0.330798,0.578187,4.15176,0.179649,0.405683,0.274399,0.185549,0.325593,0.330798,0.330798,0.330798,0.330798,0.330798,0.274399,0.301834,0.301834,0.801475,0.801475,0.801475,0.801475,0.801475,0.333479
155.594,1,0.354679,3,7,0,0.319698,0.141585,2.43413,0.125208,0.36416,0.222896,0.277492,0.291669,0.319698,0.319698,0.319698,0.319698,0.319698,0.222896,0.221522,0.221522,0.675953,0.675953,0.675953,0.675953,0.675953,0.30522
156.008,0.989109,0.354679,3,7,0,0.294865,0.181748,1.87505,0.142545,0.359593,0.316113,0.245862,0.249649,0.294865,0.294865,0.294865,0.294865,0.294865,0.316113,0.248053,0.248053,0.722769,0.722769,0.722769,0.722769,0.722769,0.302039
159.274,0.993379,0.354679,3,7,0,0.329333,0.807398,3.43279,0.154369,0.351247,0.352502,0.146888,0.318697,0.329333,0.329333,0.329333,0.329333,0.329333,0.352502,0.265627,0.265627,0.750755,0.750755,0.750755,0.750755,0.750755,0.29619
159.346,0.960135,0.354679,3,7,0,0.326085,0.936161,2.73136,0.151114,0.331354,0.352693,0.127868,0.304847,0.326085,0.326085,0.326085,0.326085,0.326085,0.352693,0.260831,0.260831,0.743346,0.743346,0.743346,0.743346,0.743346,0.282049
157.758,0.975999,0.354679,3,7,0,0.295974,0.483425,3.83404,0.168635,0.339486,0.539022,0.182518,0.289575,0.295974,0.295974,0.295974,0.295974,0.295974,0.539022,0.286284,0.286284,0.780788,0.780788,0.780788,0.780788,0.780788,0.287864
156.863,0.975759,0.354679,4,15,0,0.371626,1.19159,1.85053,0.154772,0.333872,0.314817,0.112876,0.313224,0.371626,0.371626,0.371626,0.371626,0.371626,0.314817,0.266219,0.266219,0.751658,0.751658,0.751658,0.751658,0.751658,0.283854
156.8,0.818066,0.354679,4,15,0,0.374219,0.795424,3.03936,0.134904,0.387142,0.264447,0.168919,0.356307,0.374219,0.374219,0.374219,0.374219,0.374219,0.264447,0.236474,0.236474,0.703033,0.703033,0.703033,0.703033,0.703033,0.321005
157.107,0.572085,0.354679,4,11,0,0.330019,0.208742,3.07536,0.165973,0.366805,0.408843,0.267845,0.314781,0.330019,0.330019,0.330019,0.330019,0.330019,0.408843,0.282473,0.282473,0.775472,0.775472,0.775472,0.775472,0.775472,0.307056
156.029,0.986773,0.354679,3,7,0,0.311919,0.435424,3.16754,0.11365,0.421833,0.220259,0.201809,0.298785,0.311919,0.311919,0.311919,0.311919,0.311919,0.220259,0.203319,0.203319,0.640433,0.640433,0.640433,0.640433,0.640433,0.344157
153.048,0.949889,0.354679,4,15,0,0.303738,0.425643,1.72316,0.106956,0.452249,0.583371,0.198447,0.249521,0.303738,0.303738,0.303738,0.303738,0.303738,0.583371,0.192581,0.192581,0.618104,0.618104,0.618104,0.618104,0.618104,0.363804
157.397,1,0.354679,4,15,0,0.334648,0.600653,5.36739,0.173959,0.343064,0.333962,0.183539,0.333087,0.334648,0.334648,0.334648,0.334648,0.334648,0.333962,0.293843,0.293843,0.791043,0.791043,0.791043,0.791043,0.791043,0.290407
157.062,0.985564,0.354679,3,7,0,0.323808,1.02935,5.67059,0.144497,0.297359,0.261141,0.115677,0.322692,0.323808,0.323808,0.323808,0.323808,0.323808,0.261141,0.250983,0.250983,0.727596,0.727596,0.727596,0.727596,0.727596,0.257223
154.907,0.695566,0.354679,4,15,0,0.320471,1.37068,2.00625,0.158808,0.363402,0.563168,0.0813784,0.27737,0.320471,0.320471,0.320471,0.320471,0.320471,0.563168,0.272118,0.272118,0.760517,0.760517,0.760517,0.760517,0.760517,0.304693
156.039,1,0.354679,4,15,0,0.334503,0.395925,4.10539,0.12508,0.405167,0.138626,0.22514,0.328989,0.334503,0.334503,0.334503,0.334503,0.334503,0.138626,0.221324,0.221324,0.675581,0.675581,0.675581,0.675581,0.675581,0.333134
158.714,0.995594,0.354679,4,15,0,0.345449,1.07919,3.11365,0.150752,0.313001,0.214924,0.117408,0.330098,0.345449,0.345449,0.345449,0.345449,0.345449,0.214924,0.260296,0.260296,0.742509,0.742509,0.742509,0.742509,0.742509,0.268751
158.714,0.681895,0.354679,3,7,0,0.345449,1.07919,3.11365,0.150752,0.313001,0.214924,0.117408,0.330098,0.345449,0.345449,0.345449,0.345449,0.345449,0.214924,0.260296,0.260296,0.742509,0.742509,0.742509,0.742509,0.742509,0.268751
158.269,0.841257,0.354679,4,15,0,0.325304,0.268798,3.18701,0.142636,0.378403,0.354533,0.248629,0.31187,0.325304,0.325304,0.325304,0.325304,0.325304,0.354533,0.24819,0.24819,0.722995,0.722995,0.722995,0.722995,0.722995,0.315046
157.355,0.972513,0.354679,4,15,0,0.343817,0.945285,3.45011,0.141381,0.415518,0.423705,0.133596,0.332903,0.343817,0.343817,0.343817,0.343817,0.343817,0.423705,0.246301,0.246301,0.719849,0.719849,0.719849,0.719849,0.719849,0.340002
155.458,0.838785,0.354679,3,7,0,0.310776,0.291824,5.17687,0.154478,0.364561,0.155396,0.232119,0.309022,0.310776,0.310776,0.310776,0.310776,0.310776,0.155396,0.265786,0.265786,0.750999,0.750999,0.750999,0.750999,0.750999,0.305498
157.452,0.976531,0.354679,3,7,0,0.347259,0.349557,2.0795,0.165485,0.361396,0.277212,0.244818,0.303854,0.347259,0.347259,0.347259,0.347259,0.347259,0.277212,0.281774,0.281774,0.774485,0.774485,0.774485,0.774485,0.774485,0.303297
157.551,0.99565,0.354679,2,3,0,0.344961,0.514653,2.30032,0.171557,0.372523,0.258248,0.206186,0.310387,0.344961,0.344961,0.344961,0.344961,0.344961,0.258248,0.290443,0.290443,0.786477,0.786477,0.786477,0.786477,0.786477,0.311006
152.569,0.697821,0.354679,2,3,0,0.364361,0.801153,2.3742,0.182197,0.419597,0.195276,0.163529,0.330443,0.364361,0.364361,0.364361,0.364361,0.364361,0.195276,0.305383,0.305383,0.805976,0.805976,0.805976,0.805976,0.805976,0.342688
155.906,0.850106,0.354679,2,3,0,0.36868,0.638444,2.21585,0.167457,0.387558,0.176612,0.194705,0.328471,0.36868,0.36868,0.36868,0.36868,0.36868,0.176612,0.284601,0.284601,0.778452,0.778452,0.778452,0.778452,0.778452,0.321288
156.273,0.907455,0.354679,3,7,0,0.346417,0.94578,3.89162,0.136438,0.300478,0.161565,0.13454,0.339345,0.346417,0.346417,0.346417,0.346417,0.346417,0.161565,0.238813,0.238813,0.707105,0.707105,0.707105,0.707105,0.707105,0.259536
156.973,0.978758,0.354679,3,7,0,0.368696,0.762508,2.0285,0.147343,0.330049,0.227336,0.171995,0.3202,0.368696,0.368696,0.368696,0.368696,0.368696,0.227336,0.255235,0.255235,0.734486,0.734486,0.734486,0.734486,0.734486,0.281111
157.835,0.993709,0.354679,4,15,0,0.320159,0.742885,3.73556,0.191636,0.319968,0.350557,0.152312,0.31252,0.320159,0.320159,0.320159,0.320159,0.320159,0.350557,0.318372,0.318372,0.821777,0.821777,0.821777,0.821777,0.821777,0.273828
