age_group,pyo,yr_mortality,aging,under5
0-<9m,560,0.0059,0.0255,1
9m-<2y,928,0.0059,0.0153,1
2y-<5y,3102,0.00241,0.0064,2
5y-<10y,5609,0.001,0.0038,0
10y-<15y,6492,0.0011,0.0038,0
15y-<20y,6457,0.0011,0.0038,0
20y-<25y,6049,0.0016,0.0038,0
25y-<30y,6000,0.0016,0.0038,0
30y-<40y,9833,0.0026,0.0019,0
40y-<50y,6994,0.0052,0.0019,0
50y+,8448,0.0479,0,0
