age_group,pyo,yr_mortality,aging,under5
0-<9m,1321,0.0301,0.0255,1
9m-<2y,2136,0.0301,0.0153,1
2y-<5y,6138,0.0086,0.0064,2
5y-<10y,8049,0.0015,0.0038,0
10y-<15y,5018,0.001,0.0038,0
15y-<20y,5472,0.001,0.0038,0
20y-<25y,6083,0.0046,0.0038,0
25y-<30y,5944,0.0046,0.0038,0
30y-<40y,8212,0.0046,0.0019,0
40y-<50y,4040,0.0096,0.0019,0
50y+,2120,0.0171,0,0
