site,alpha1,beta1,alpha2,beta2
kolkata,114.1964736,84.79130925,72.84941756,177.7427163
jakarta,1302.593857,5066.347184,1579.95798,2812.192417
kibera,318.0667094,2138.036544,269.7707816,794.4690013
lwak,56.1841103,661.6514741,254.1688712,1058.973503
kalamapur,53.03341639,85.85917426,55.48706871,106.0572308
delhi,114.1964736,84.79130925,72.84941756,177.7427163
