age_group,pyo,yr_mortality,aging,under5
0-<9m,2500,0.0301,0.0255,1
9m-<2y,4045,0.0301,0.0153,1
2y-<5y,7028,0.0086,0.0064,2
5y-<10y,11312,0.0015,0.0038,0
10y-<15y,10489,0.001,0.0038,0
15y-<20y,8381,0.001,0.0038,0
20y-<25y,5199,0.0046,0.0038,0
25y-<30y,5081,0.0046,0.0038,0
30y-<40y,7821,0.0046,0.0019,0
40y-<50y,4800,0.0096,0.0019,0
50y+,10362,0.0171,0,0
