"","beta","r","logm1","logm2","sensrate","prop"
"97",0.479814,0.169672,1.84595,1.5346,0.138734,0.981164
"98",0.394524,0.442353,0.866199,3.21547,0.172352,0.935219
"99",0.312503,0.354351,0.896018,2.35513,0.196651,0.905459
"100",0.485984,0.387022,2.469,2.16404,0.138177,0.939088
"101",0.461316,0.306662,1.38175,2.31924,0.131195,0.946959
"102",0.343214,0.457352,2.969,5.98485,0.172548,0.987561
"103",0.377612,0.430763,1.66519,1.96704,0.168539,0.949187
"104",0.327794,0.377071,0.79562,2.63695,0.143315,0.874835
"105",0.474332,0.124621,2.5382,1.25953,0.13932,0.960605
"106",0.406877,0.489799,1.11255,1.68343,0.177971,0.837285
"107",0.465771,0.224781,1.81712,2.66438,0.130866,0.967381
"108",0.443998,0.233555,2.40718,2.00301,0.137521,0.925108
"109",0.444304,0.244991,1.77175,1.52625,0.189412,0.975644
"110",0.449334,0.235153,1.63023,1.61801,0.19576,0.989902
"111",0.430872,0.37152,1.80549,1.40035,0.137194,0.972685
"112",0.406012,0.241394,2.18049,2.25998,0.209025,0.882271
"113",0.400022,0.413808,2.38777,1.93721,0.194857,0.847494
"114",0.345871,0.247532,1.87576,1.73674,0.160536,0.943676
"115",0.435681,0.221948,1.1034,2.08978,0.141187,0.937024
"116",0.43136,0.256331,1.70727,1.09333,0.174605,0.916539
"117",0.482116,0.290536,1.86101,2.33692,0.177745,0.75028
"118",0.49209,0.393636,2.72306,1.13153,0.193776,0.900681
"119",0.507417,0.379833,1.82639,1.39941,0.20407,0.934457
"120",0.435232,0.412714,1.99035,1.86209,0.14581,0.860256
"121",0.374728,0.473413,2.03101,3.2631,0.176301,0.949779
"122",0.410604,0.2968,1.46494,1.24544,0.132315,0.947604
"123",0.414394,0.422029,2.11133,2.33616,0.142875,0.864392
"124",0.390554,0.416198,1.53482,2.38373,0.144214,0.785158
"125",0.476831,0.195347,2.0761,1.68341,0.161586,0.801503
"126",0.451855,0.202049,1.77139,0.943013,0.160389,0.7191
"127",0.404013,0.265795,1.70679,4.54372,0.15691,0.994396
"128",0.417745,0.234666,1.23435,1.0052,0.126691,0.987103
"129",0.401085,0.225679,1.39102,5.45792,0.189051,0.97139
"130",0.44084,0.300896,2.06392,2.8124,0.171786,0.956527
"131",0.422321,0.355104,1.3636,3.19218,0.173767,0.900938
"132",0.391029,0.357589,1.87426,1.06685,0.155098,0.984267
"133",0.383959,0.37822,1.2736,6.10803,0.145696,0.921485
"134",0.385597,0.207777,1.14972,1.65752,0.169893,0.985821
"135",0.380684,0.454016,2.15754,2.25899,0.133569,0.835394
"136",0.385296,0.420497,1.2049,1.85893,0.172201,0.889181
"137",0.418922,0.380341,1.54846,3.14756,0.132621,0.97005
"138",0.375943,0.449969,1.89371,3.96918,0.134953,0.938275
"139",0.426236,0.446535,2.01597,3.38088,0.136296,0.960099
"140",0.413572,0.382391,1.59894,3.19357,0.155793,0.932311
"141",0.40331,0.436725,1.50823,4.77536,0.169478,0.928658
"142",0.35933,0.430164,2.23217,3.62064,0.152729,0.904119
"143",0.342177,0.3702,0.668975,1.34787,0.163117,0.850344
"144",0.455235,0.364428,1.63206,2.32534,0.172248,0.984962
"145",0.370165,0.535873,1.06247,2.24287,0.151697,0.904693
"146",0.457938,0.288072,1.84916,2.3775,0.147039,0.987154
"147",0.414846,0.327409,1.21756,3.23556,0.169485,0.840206
"148",0.355383,0.42172,1.5705,1.55124,0.145524,0.924316
"149",0.374423,0.335647,1.38969,1.69862,0.170203,0.907304
"150",0.365976,0.279967,1.51033,2.13569,0.186207,0.895863
"151",0.40886,0.515619,1.27594,1.29319,0.145934,0.93783
"152",0.446051,0.21003,1.91492,2.3686,0.173236,0.894107
"153",0.422952,0.328262,1.57158,1.32324,0.152819,0.866038
"154",0.422952,0.328262,1.57158,1.32324,0.152819,0.866038
"155",0.417337,0.363893,1.66939,1.54257,0.147453,0.876625
"156",0.495229,0.244823,1.79129,1.01618,0.176104,0.935276
"157",0.357871,0.310408,0.854929,1.22982,0.162891,0.826815
"158",0.406272,0.29251,1.19672,1.56977,0.148486,0.829386
"159",0.35319,0.236804,1.61019,1.48906,0.155577,0.921031
"160",0.384803,0.351895,1.85746,1.39793,0.123491,0.924005
"161",0.466112,0.30631,1.62843,1.20779,0.166041,0.964635
"162",0.467109,0.274705,1.55761,1.13184,0.153373,0.96483
"163",0.417345,0.223677,1.54978,3.27371,0.148498,0.9669
"164",0.39882,0.394938,1.68248,0.800713,0.160193,0.915169
"165",0.367141,0.318301,1.45014,1.83333,0.165904,0.842
"166",0.331019,0.644278,0.815846,6.39927,0.142386,0.916964
"167",0.515181,0.206871,1.91416,0.854284,0.18478,0.774786
"168",0.315329,0.577854,1.26632,5.54305,0.136684,0.969105
"169",0.451325,0.144131,1.43203,0.956995,0.195252,0.787744
"170",0.432203,0.183937,1.15406,1.51991,0.191718,0.789165
"171",0.348809,0.311629,1.5233,5.68977,0.13831,0.979035
"172",0.38179,0.36119,1.42497,5.9166,0.15501,0.985126
"173",0.407953,0.332292,1.01009,1.12821,0.163377,0.92355
"174",0.425281,0.391566,0.796153,1.90275,0.154022,0.946995
"175",0.442307,0.405761,0.726903,1.41124,0.152566,0.971638
"176",0.458275,0.334461,0.735328,0.841759,0.168694,0.961595
"177",0.456708,0.371209,0.972865,0.990851,0.182719,0.899495
"178",0.314108,0.591059,1.17685,6.56099,0.148722,0.863087
"179",0.475648,0.334366,2.00471,1.05552,0.183513,0.952653
"180",0.459075,0.343139,2.11823,0.882599,0.186068,0.945334
"181",0.443513,0.361799,2.07795,1.43484,0.16094,0.892304
"182",0.411068,0.396111,2.34436,1.27904,0.147018,0.934758
"183",0.406688,0.383202,2.47618,1.27405,0.15116,0.923718
"184",0.417721,0.360217,1.45952,1.79721,0.144444,0.960711
"185",0.394065,0.345586,1.94375,1.62761,0.151166,0.964589
"186",0.545324,0.160747,1.95572,0.957226,0.162349,0.891203
"187",0.447211,0.428628,1.845,0.913565,0.151438,0.974569
"188",0.37561,0.29041,1.40883,2.00815,0.150022,0.966181
"189",0.44136,0.389731,2.24355,1.69817,0.156399,0.929116
"190",0.473579,0.387771,1.89905,2.01782,0.183535,0.882623
"191",0.347639,0.234412,1.31167,2.46874,0.139345,0.945954
"192",0.374263,0.627757,1.67024,1.59389,0.190192,0.953249
"193",0.438119,0.257705,1.64125,0.895516,0.139773,0.849637
"194",0.461964,0.280861,1.30346,0.984502,0.144601,0.845532
"195",0.358528,0.290152,1.72021,2.32433,0.179224,0.968315
"196",0.341938,0.295385,1.6247,1.64495,0.16625,0.921053
"197",0.364587,0.222274,1.37266,2.10354,0.177891,0.942694
"198",0.403123,0.207305,1.33428,1.85454,0.184273,0.953104
"199",0.484242,0.460272,2.58597,1.2539,0.158571,0.873087
"200",0.442895,0.253705,1.62678,1.05558,0.16022,0.869194
"201",0.337169,0.270975,0.772142,3.10525,0.18225,0.887008
"202",0.448324,0.253681,2.4993,1.18992,0.159428,0.9059
"203",0.4903,0.194715,1.6907,1.52229,0.168219,0.926242
"204",0.474265,0.189888,1.71467,1.53014,0.159006,0.912302
"205",0.463766,0.202631,1.92206,1.03393,0.152351,0.899279
"206",0.403578,0.426461,1.93607,2.13293,0.179183,0.872202
"207",0.377303,0.194314,1.31354,1.74971,0.133492,0.892289
"208",0.39066,0.431019,1.72238,3.21462,0.173515,0.999788
"209",0.426249,0.529636,1.58956,5.05382,0.140714,0.957848
"210",0.379435,0.359016,2.51266,2.86918,0.134191,0.97759
"211",0.377333,0.236557,1.28797,0.841626,0.172537,0.977541
"212",0.411251,0.394472,1.29895,3.88124,0.16403,0.975674
"213",0.393638,0.40755,1.12208,3.86213,0.160828,0.992799
"214",0.343917,0.444336,1.33881,4.95162,0.154883,0.993017
"215",0.417944,0.250138,1.76912,1.00666,0.144329,0.858958
"216",0.431181,0.212438,1.07903,1.32603,0.145807,0.878389
"217",0.362662,0.260539,1.28718,1.31515,0.145852,0.990915
"218",0.350421,0.291179,1.75623,1.47439,0.170574,0.965097
"219",0.381201,0.495923,1.32603,1.72711,0.173262,0.919946
"220",0.366436,0.498905,2.19065,3.93942,0.151331,0.985898
"221",0.402434,0.414366,2.43437,3.17949,0.154202,0.954226
"222",0.407311,0.548639,1.77645,3.54011,0.154006,0.976496
"223",0.422591,0.300191,1.28558,2.11004,0.174239,0.852708
"224",0.403903,0.257919,2.14596,2.14653,0.181912,0.863678
"225",0.419354,0.233039,2.79035,2.29167,0.202391,0.787429
"226",0.422057,0.222605,2.31655,1.77286,0.202946,0.805064
"227",0.399556,0.232496,1.60331,1.55341,0.171032,0.872325
"228",0.382756,0.40242,1.64294,2.95975,0.165799,0.853669
"229",0.375736,0.423563,1.02072,1.72231,0.139794,0.946827
"230",0.344353,0.47976,1.34305,3.29326,0.165638,0.96614
"231",0.382081,0.200773,1.04796,2.25627,0.137793,0.994674
"232",0.456266,0.377998,1.90152,2.72605,0.186571,0.998048
"233",0.440652,0.350942,2.31245,3.4067,0.175859,0.938111
"234",0.369554,0.334316,1.28943,2.21582,0.136668,0.992837
"235",0.369554,0.334316,1.28943,2.21582,0.136668,0.992837
"236",0.400445,0.335521,2.07558,1.41861,0.163526,0.996593
"237",0.459037,0.25763,1.77763,3.42623,0.145664,0.944017
"238",0.43097,0.296398,1.68753,3.19617,0.146853,0.946039
"239",0.359135,0.512039,1.38146,1.80454,0.154957,0.828786
"240",0.444337,0.332041,1.68098,2.59924,0.16876,0.901458
"241",0.335299,0.352355,1.5189,5.81921,0.176213,0.964596
"242",0.588932,0.264144,1.79816,0.280353,0.164415,0.816568
"243",0.567787,0.210303,2.02562,0.267207,0.165086,0.739256
"244",0.473913,0.171316,2.85818,1.95851,0.161381,0.999505
"245",0.426363,0.196601,1.57588,1.60301,0.121582,0.973365
"246",0.435726,0.184066,2.10949,1.88751,0.141625,0.974382
"247",0.384468,0.166766,1.45449,3.82438,0.195854,0.998286
"248",0.454017,0.482436,2.11196,1.21982,0.149469,0.98449
"249",0.362059,0.296277,1.50375,3.5029,0.181072,0.870895
"250",0.39882,0.316047,0.915849,1.17337,0.154078,0.993974
"251",0.373119,0.321209,1.21159,1.1152,0.160737,0.990145
"252",0.362485,0.369664,1.02023,1.25571,0.190456,0.961503
"253",0.366341,0.422954,0.550866,3.16906,0.159916,0.996034
"254",0.405589,0.34129,0.665777,1.29127,0.147437,0.986365
"255",0.385549,0.42848,0.882948,1.91769,0.182717,0.986069
"256",0.437994,0.174539,2.68059,1.3706,0.138642,0.963122
"257",0.45411,0.237181,1.4992,1.71108,0.179189,0.794973
"258",0.355898,0.362123,0.953008,1.72927,0.149729,0.979989
"259",0.451406,0.175426,2.47137,3.82731,0.142786,0.792388
"260",0.445053,0.15948,2.06766,5.03393,0.151655,0.840449
"261",0.439615,0.138372,2.37105,3.19113,0.161053,0.81649
"262",0.391538,0.258732,3.12352,2.13447,0.166196,0.887954
"263",0.37185,0.325573,1.52761,6.85807,0.17177,0.87577
"264",0.424507,0.287161,2.01082,1.71158,0.13813,0.973898
"265",0.442764,0.301382,1.51873,1.43038,0.161945,0.987596
"266",0.359936,0.373325,1.14452,1.66735,0.152948,0.975934
"267",0.359936,0.373325,1.14452,1.66735,0.152948,0.975934
"268",0.351545,0.344497,1.19134,1.21524,0.150617,0.970167
"269",0.343444,0.362953,1.8368,3.17517,0.133014,0.9917
"270",0.392436,0.715127,1.27817,1.12203,0.175123,0.875313
"271",0.386523,0.345187,2.17359,1.95446,0.166998,0.866643
"272",0.451795,0.329506,1.05862,2.33805,0.17507,0.935891
"273",0.50725,0.281414,1.60629,2.46215,0.162845,0.925041
"274",0.44441,0.36272,2.75765,1.95768,0.173534,0.946634
"275",0.47785,0.232485,1.223,1.53986,0.170758,0.96199
"276",0.441401,0.299106,0.999355,0.884075,0.146436,0.921905
"277",0.399825,0.350556,1.18663,1.16958,0.148563,0.9713
"278",0.359882,0.40578,1.26544,0.90646,0.165345,0.924051
"279",0.412002,0.321509,1.42418,2.17595,0.162376,0.835188
"280",0.344605,0.334542,0.868337,0.944992,0.16432,0.923854
"281",0.412422,0.357028,0.617712,2.89087,0.15842,0.817637
"282",0.306049,0.621539,2.05527,2.33282,0.155018,0.99124
"283",0.505732,0.630986,1.79866,1.06931,0.150519,0.988554
"284",0.434537,0.26109,1.93957,1.3908,0.156559,0.991045
"285",0.391595,0.523629,2.19599,1.3417,0.184327,0.791762
"286",0.410798,0.51531,2.39975,1.68823,0.200231,0.804928
"287",0.424161,0.541416,2.24902,1.52287,0.189399,0.766806
"288",0.451294,0.494424,1.72438,1.45228,0.167368,0.894973
"289",0.365761,0.244966,1.34248,1.9137,0.174172,0.895533
"290",0.382134,0.248851,2.00231,1.37189,0.172837,0.887824
"291",0.449483,0.271532,1.81759,3.24248,0.149088,0.940092
"292",0.437166,0.415655,1.95561,2.13091,0.177842,0.807037
"293",0.417802,0.278279,0.855691,0.69277,0.147821,0.994557
"294",0.416496,0.14362,0.980518,1.74867,0.140742,0.965044
"295",0.522866,0.291844,2.59204,1.03549,0.158788,0.971876
"296",0.445662,0.389945,1.42824,1.0038,0.147397,0.956915
"297",0.460036,0.214691,2.42332,1.71085,0.185455,0.943936
"298",0.374305,0.402705,1.15366,1.41676,0.147186,0.803112
"299",0.359196,0.359433,1.31683,1.73187,0.153857,0.811832
"300",0.417974,0.299795,1.043,1.25649,0.150859,0.80157
"301",0.395991,0.277074,1.20449,0.786374,0.161184,0.785933
"302",0.447077,0.33356,1.70977,1.26959,0.183465,0.898215
"303",0.463093,0.439585,2.001,1.43137,0.164944,0.914659
"304",0.398669,0.2282,1.38762,1.46559,0.153673,0.929802
"305",0.398669,0.2282,1.38762,1.46559,0.153673,0.929802
"306",0.364397,0.511661,1.33119,3.08961,0.200773,0.836755
"307",0.37885,0.43,1.19827,1.09658,0.192163,0.730789
"308",0.3608,0.337475,1.74643,4.00078,0.140174,0.996313
"309",0.348317,0.374873,0.449333,1.15658,0.176804,0.879696
"310",0.340871,0.395783,0.320844,1.69337,0.194173,0.872794
"311",0.385672,0.23955,0.315342,1.44857,0.17751,0.945973
"312",0.366452,0.241338,0.26781,1.97824,0.176373,0.968158
"313",0.352099,0.187416,0.438298,3.52305,0.149422,0.880715
"314",0.432244,0.41849,2.52514,1.13736,0.164931,0.986991
"315",0.503435,0.551816,1.47158,1.14836,0.163528,0.994918
"316",0.519441,0.600115,1.33191,1.05109,0.154087,0.994135
"317",0.486344,0.286095,2.46651,0.653872,0.184863,0.899186
"318",0.533505,0.382666,1.29614,0.854946,0.164868,0.840818
"319",0.47659,0.391265,1.52932,0.574219,0.171397,0.921111
"320",0.452879,0.599614,1.57128,0.961616,0.166925,0.812211
"321",0.321074,0.579448,2.14338,3.65241,0.196836,0.88557
"322",0.424485,0.342743,1.73948,3.06859,0.182835,0.870279
"323",0.37975,0.308837,1.53636,1.56529,0.150187,0.845108
"324",0.401986,0.147306,1.77531,5.03363,0.170155,0.911048
"325",0.390679,0.599099,1.59467,2.01725,0.143938,0.922072
"326",0.398384,0.515146,0.748132,2.36349,0.1703,0.827831
"327",0.395886,0.160861,1.0719,2.44923,0.145836,0.982855
"328",0.422846,0.343353,2.5606,1.14479,0.171908,0.924453
"329",0.387795,0.336245,1.4059,1.75749,0.195114,0.840533
"330",0.348678,0.371206,1.25291,2.39464,0.136792,0.937724
"331",0.503289,0.169495,1.79648,2.23448,0.185606,0.916992
"332",0.406967,0.475745,1.29411,0.805941,0.136753,0.970869
"333",0.406967,0.475745,1.29411,0.805941,0.136753,0.970869
"334",0.413638,0.412207,1.56525,0.771938,0.134362,0.975801
"335",0.428601,0.27205,1.35,1.20302,0.126243,0.945504
"336",0.392954,0.345555,1.92041,3.30644,0.185651,0.982557
"337",0.432158,0.346426,2.34732,3.09704,0.171933,0.990098
"338",0.383027,0.199059,0.947025,1.26179,0.151622,0.768313
"339",0.422203,0.389198,1.04583,1.06527,0.206457,0.829137
"340",0.424007,0.428695,1.08405,0.993536,0.200972,0.830523
"341",0.357233,0.397644,0.845979,3.94558,0.185953,0.745563
"342",0.47625,0.60102,1.89337,1.40103,0.130697,0.909808
"343",0.434806,0.405901,1.9612,1.61288,0.128886,0.99894
"344",0.446075,0.385696,1.60431,1.66468,0.133175,0.998706
"345",0.40121,0.306277,1.35693,1.5457,0.133975,0.977541
"346",0.434383,0.330789,2.50943,2.1884,0.185443,0.900636
"347",0.455916,0.339685,2.0793,2.30177,0.173099,0.909169
"348",0.426217,0.370211,3.19729,2.89284,0.164,0.953567
"349",0.403309,0.357437,1.31223,1.44686,0.134431,0.951141
"350",0.375877,0.260582,1.01583,2.502,0.154998,0.998477
"351",0.386332,0.26652,1.83534,1.71673,0.135697,0.937542
"352",0.409386,0.175241,1.98789,2.90041,0.155611,0.934964
"353",0.415176,0.146083,1.02132,1.65259,0.153207,0.976432
"354",0.346079,0.12269,0.337304,1.92904,0.165141,0.986155
"355",0.340774,0.504642,1.2312,1.65981,0.146578,0.938253
"356",0.375699,0.296285,1.25165,2.17877,0.16614,0.981649
"357",0.480441,0.419616,1.85978,1.05593,0.183278,0.824222
"358",0.494466,0.403214,1.41112,0.781979,0.194464,0.804808
"359",0.354839,0.55765,1.94044,2.27768,0.149033,0.913969
"360",0.399696,0.372941,1.07072,1.41206,0.12793,0.911513
"361",0.407329,0.486362,0.839836,0.804373,0.147178,0.890161
"362",0.316874,0.480194,2.24219,4.89127,0.158814,0.981944
"363",0.338531,0.652624,1.70225,9.72447,0.169902,0.957625
"364",0.420644,0.483637,1.70327,0.551943,0.148015,0.86376
"365",0.386761,0.524226,0.828215,1.68174,0.155586,0.93394
"366",0.435758,0.286694,1.48121,3.48715,0.151686,0.993876
"367",0.367781,0.267814,2.1216,3.98193,0.167438,0.996738
"368",0.336251,0.339069,0.501805,1.04997,0.12943,0.9222
"369",0.348892,0.453687,0.372291,2.66573,0.180765,0.979791
"370",0.38023,0.302173,1.17591,2.81172,0.150689,0.926232
"371",0.361836,0.431247,1.52953,2.21863,0.179103,0.859792
"372",0.428681,0.267402,1.977,1.4056,0.171848,0.964703
"373",0.343819,0.404494,0.965562,2.14054,0.127158,0.962169
"374",0.386154,0.203044,1.35431,2.08452,0.187252,0.930948
"375",0.39742,0.188414,1.72128,1.67132,0.202818,0.950481
"376",0.459689,0.212942,1.34349,2.30653,0.184967,0.919724
"377",0.370639,0.355501,1.79047,1.11723,0.175648,0.848596
"378",0.435147,0.347211,1.23026,1.92455,0.169692,0.936406
"379",0.36899,0.355167,1.70484,1.15132,0.158175,0.934493
"380",0.39485,0.297664,1.25053,1.79268,0.167393,0.98607
"381",0.343552,0.307488,0.830043,1.86206,0.161392,0.914476
"382",0.365398,0.310051,0.692588,1.8342,0.151358,0.901595
"383",0.377117,0.237649,1.53394,4.44786,0.180785,0.935866
"384",0.376303,0.218853,1.02853,2.64912,0.144281,0.924821
"385",0.336513,0.285427,0.817321,3.10377,0.178426,0.847919
"386",0.42246,0.414605,2.70487,1.31041,0.148979,0.956345
"387",0.394118,0.603437,1.08808,1.16314,0.151926,0.965357
"388",0.406393,0.287188,1.83519,4.11774,0.165097,0.928368
"389",0.377554,0.309312,1.72332,2.5745,0.149375,0.911035
"390",0.401848,0.229945,1.32469,2.43695,0.154936,0.993302
"391",0.384983,0.217931,1.32489,1.41891,0.16306,0.991145
"392",0.375678,0.287233,1.34884,1.40522,0.163584,0.98057
"393",0.468076,0.334144,1.3947,0.845527,0.129444,0.962367
"394",0.32522,0.441181,1.85093,7.1108,0.160626,0.970135
"395",0.361684,0.437633,0.924468,1.04425,0.137794,0.909641
"396",0.376495,0.196297,0.763755,2.71397,0.16229,0.949773
"397",0.370536,0.543307,0.956431,1.37474,0.175624,0.983205
"398",0.331329,0.455891,1.34137,2.60768,0.121521,0.82417
"399",0.420461,0.316101,0.693725,1.94874,0.225302,0.934035
"400",0.334869,0.303453,1.54309,1.32292,0.116961,0.946027
"401",0.404648,0.248134,1.24507,1.75471,0.151608,0.878343
"402",0.413123,0.322138,1.49486,1.19168,0.145361,0.959599
"403",0.424937,0.212685,1.80759,2.87173,0.137022,0.970577
"404",0.398554,0.288428,1.94343,3.46232,0.152621,0.986379
"405",0.391646,0.3425,2.23164,3.45804,0.140171,0.986499
"406",0.402559,0.191144,0.995994,0.878591,0.176112,0.753109
"407",0.387613,0.201001,1.28462,1.1163,0.15914,0.887976
"408",0.397385,0.492643,1.3097,2.22235,0.137875,0.93926
"409",0.380218,0.300332,1.23885,0.923035,0.163482,0.968102
"410",0.409186,0.574677,1.75011,1.98761,0.171311,0.951766
"411",0.381411,0.53054,1.9575,1.62843,0.164334,0.968161
"412",0.360163,0.336908,1.04047,3.81578,0.155898,0.954179
"413",0.31919,0.648492,1.63096,4.46147,0.140572,0.956089
"414",0.482418,0.2882,1.36573,1.17608,0.171161,0.965539
"415",0.360132,0.347653,1.85316,2.73264,0.129598,0.998308
"416",0.379106,0.318068,1.98487,1.49868,0.150747,0.999459
"417",0.421105,0.296126,1.80905,1.49447,0.134347,0.999962
"418",0.473118,0.283279,1.91203,1.1829,0.173611,0.597766
"419",0.334862,0.690794,1.1057,3.55385,0.154473,0.996761
"420",0.419939,0.5369,1.99125,2.11298,0.149151,0.97936
"421",0.405088,0.190162,1.04476,1.85977,0.155614,0.914164
"422",0.377453,0.259921,1.3741,1.52336,0.164051,0.98872
"423",0.392277,0.302698,1.82872,1.12392,0.158989,0.991965
