# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 1614998522
# output
#   file = outputnotheta_norI2_3jun.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,prop
# Adaptation terminated
# Step size = 0.600448
# Diagonal elements of inverse mass matrix:
# 0.0352813, 0.057412, 0.236375, 0.0125273, 0.141573, 0.415528
-49.6768,0.817641,0.600448,3,7,0,0.451465,2.61334,1.34119,0.128408,6.27738,0.277352,0.0330876,0.333391,0.451465,0.451465,0.451465,0.451465,0.277352,0.22649,0.22649,0.401682,0.401682,0.401682,0.401682,0.998122
-51.1121,0.6968,0.600448,2,3,0,0.469125,2.98639,0.63995,0.135985,4.56704,0.296735,0.0236764,0.221747,0.469125,0.469125,0.469125,0.469125,0.296735,0.238123,0.238123,0.419543,0.419543,0.419543,0.419543,0.989611
-49.4809,1,0.600448,2,3,0,0.462189,2.67336,1.00279,0.121755,3.73556,0.238262,0.0319001,0.292633,0.462189,0.462189,0.462189,0.462189,0.238262,0.216128,0.216128,0.385544,0.385544,0.385544,0.385544,0.97614
-49.4809,0.639984,0.600448,3,7,0,0.462189,2.67336,1.00279,0.121755,3.73556,0.238262,0.0319001,0.292633,0.462189,0.462189,0.462189,0.462189,0.238262,0.216128,0.216128,0.385544,0.385544,0.385544,0.385544,0.97614
-46.0413,0.990455,0.600448,2,3,0,0.456221,1.78533,2.85789,0.161764,2.82962,0.234901,0.0765271,0.430039,0.456221,0.456221,0.456221,0.456221,0.234901,0.276408,0.276408,0.476415,0.476415,0.476415,0.476415,0.940965
-46.7005,0.954423,0.600448,3,7,0,0.404685,2.54668,1.93772,0.15217,2.56886,0.234682,0.0317036,0.346398,0.404685,0.404685,0.404685,0.404685,0.234682,0.262391,0.262391,0.455932,0.455932,0.455932,0.455932,0.923377
-46.7005,0.691032,0.600448,3,7,0,0.404685,2.54668,1.93772,0.15217,2.56886,0.234682,0.0317036,0.346398,0.404685,0.404685,0.404685,0.404685,0.234682,0.262391,0.262391,0.455932,0.455932,0.455932,0.455932,0.923377
-45.8575,0.950276,0.600448,3,7,0,0.406511,2.23587,2.5857,0.156844,2.18498,0.239785,0.0434555,0.375883,0.406511,0.406511,0.406511,0.406511,0.239785,0.269253,0.269253,0.466008,0.466008,0.466008,0.466008,0.88752
-46.0181,0.952727,0.600448,3,7,0,0.379046,1.86532,2.35501,0.160987,1.96629,0.207523,0.058694,0.343077,0.379046,0.379046,0.379046,0.379046,0.207523,0.275283,0.275283,0.474785,0.474785,0.474785,0.474785,0.860025
-47.0627,0.982255,0.600448,3,7,0,0.388056,1.9499,2.48356,0.181577,1.50733,0.505393,0.0552157,0.355674,0.388056,0.388056,0.388056,0.388056,0.505393,0.304521,0.304521,0.516309,0.516309,0.516309,0.516309,0.7785
