# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 6
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 2454467434
# output
#   file = outputnotheta_norI2_jun26.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,prop
# Adaptation terminated
# Step size = 0.450852
# Diagonal elements of inverse mass matrix:
# 0.048736, 0.139795, 0.323374, 0.0188067, 0.106381, 0.255538
-47.5034,0.968923,0.450852,4,15,0,0.513241,1.6901,1.27001,0.167622,2.61899,0.166019,0.0946939,0.369109,0.513241,0.513241,0.513241,0.513241,0.166019,0.284837,0.284837,0.488542,0.488542,0.488542,0.488542,0.927123
-46.6116,0.99892,0.450852,4,15,0,0.429132,1.73396,1.24057,0.167775,1.56286,0.491368,0.0757781,0.305018,0.429132,0.429132,0.429132,0.429132,0.491368,0.285055,0.285055,0.488854,0.488854,0.488854,0.488854,0.790465
-46.0504,0.992066,0.450852,3,7,0,0.393666,1.88221,1.37686,0.142897,2.12664,0.470026,0.0599368,0.294316,0.393666,0.393666,0.393666,0.393666,0.470026,0.248582,0.248582,0.435371,0.435371,0.435371,0.435371,0.880762
-46.5857,0.852283,0.450852,3,7,0,0.409355,1.69742,1.00179,0.154707,2.88612,0.566576,0.0749757,0.259031,0.409355,0.409355,0.409355,0.409355,0.566576,0.266123,0.266123,0.461424,0.461424,0.461424,0.461424,0.944208
-48.577,0.974357,0.450852,3,7,0,0.348951,0.900484,5.07984,0.145916,4.46011,0.24113,0.141804,0.34678,0.348951,0.348951,0.348951,0.348951,0.24113,0.253106,0.253106,0.44215,0.44215,0.44215,0.44215,0.988439
-48.6535,0.992843,0.450852,3,7,0,0.461372,2.28676,0.705881,0.175238,1.29137,0.378097,0.0468731,0.233605,0.461372,0.461372,0.461372,0.461372,0.378097,0.295647,0.295647,0.503887,0.503887,0.503887,0.503887,0.725107
-49.3441,0.875119,0.450852,4,15,0,0.383428,1.97539,1.80213,0.146641,7.39151,0.557132,0.0531841,0.320182,0.383428,0.383428,0.383428,0.383428,0.557132,0.254189,0.254189,0.443765,0.443765,0.443765,0.443765,0.999384
-46.3304,1,0.450852,3,7,0,0.344659,1.11583,2.31434,0.142906,3.34991,0.49997,0.112925,0.310596,0.344659,0.344659,0.344659,0.344659,0.49997,0.248595,0.248595,0.435391,0.435391,0.435391,0.435391,0.964913
-47.969,0.970733,0.450852,3,7,0,0.354333,0.900018,1.89956,0.168041,4.71949,0.533691,0.144059,0.301313,0.354333,0.354333,0.354333,0.354333,0.533691,0.285436,0.285436,0.489398,0.489398,0.489398,0.489398,0.99108
-48.4852,0.879343,0.450852,3,7,0,0.419439,2.092,1.61688,0.170075,1.24391,0.171141,0.0517754,0.336173,0.419439,0.419439,0.419439,0.419439,0.171141,0.288336,0.288336,0.493535,0.493535,0.493535,0.493535,0.711746
-46.7709,0.96524,0.450852,2,3,0,0.422297,2.38587,1.50128,0.180821,1.5844,0.274325,0.0388552,0.32819,0.422297,0.422297,0.422297,0.422297,0.274325,0.303469,0.303469,0.514844,0.514844,0.514844,0.514844,0.79493
-46.0182,1,0.450852,2,3,0,0.420216,1.94061,2.01913,0.164409,1.52148,0.336764,0.0603496,0.364424,0.420216,0.420216,0.420216,0.420216,0.336764,0.280225,0.280225,0.481924,0.481924,0.481924,0.481924,0.781612
-48.2979,0.824118,0.450852,2,3,0,0.371682,2.59821,3.34721,0.156911,1.72865,0.359833,0.0276557,0.358605,0.371682,0.371682,0.371682,0.371682,0.359833,0.26935,0.26935,0.466151,0.466151,0.466151,0.466151,0.822477
-45.7764,0.94467,0.450852,3,7,0,0.37607,2.01872,2.07774,0.141203,3.27071,0.345625,0.0499519,0.328982,0.37607,0.37607,0.37607,0.37607,0.345625,0.246033,0.246033,0.431534,0.431534,0.431534,0.431534,0.96202
-47.0234,0.975377,0.450852,3,7,0,0.39382,0.975448,1.58916,0.135745,4.07553,0.370727,0.148479,0.313443,0.39382,0.39382,0.39382,0.39382,0.370727,0.237758,0.237758,0.418987,0.418987,0.418987,0.418987,0.983017
-46.4476,0.884984,0.450852,2,3,0,0.411435,1.11006,2.05776,0.14968,3.11658,0.445075,0.135584,0.358878,0.411435,0.411435,0.411435,0.411435,0.445075,0.258708,0.258708,0.450486,0.450486,0.450486,0.450486,0.955691
-46.0801,0.989093,0.450852,3,5,0,0.366446,1.9259,3.10905,0.153998,2.90749,0.497579,0.0534075,0.350087,0.366446,0.366446,0.366446,0.366446,0.497579,0.265081,0.265081,0.459894,0.459894,0.459894,0.459894,0.945387
-45.7723,0.977478,0.450852,3,7,0,0.386016,1.3062,1.70825,0.15168,3.02737,0.525912,0.104552,0.316077,0.386016,0.386016,0.386016,0.386016,0.525912,0.261667,0.261667,0.454865,0.454865,0.454865,0.454865,0.951557
-48.3693,0.826773,0.450852,3,7,0,0.391954,2.19658,4.81761,0.18035,1.69994,0.464631,0.0435784,0.388785,0.391954,0.391954,0.391954,0.391954,0.464631,0.302812,0.302812,0.513929,0.513929,0.513929,0.513929,0.817306
-45.082,0.859152,0.450852,3,7,0,0.388453,1.89605,2.0262,0.146809,2.28041,0.353058,0.0583305,0.337241,0.388453,0.388453,0.388453,0.388453,0.353058,0.254439,0.254439,0.44414,0.44414,0.44414,0.44414,0.897758
-47.0577,0.882959,0.450852,2,3,0,0.404384,2.36961,1.94524,0.147612,1.6501,0.329338,0.0378168,0.346576,0.404384,0.404384,0.404384,0.404384,0.329338,0.255635,0.255635,0.44592,0.44592,0.44592,0.44592,0.807969
-44.7777,0.981084,0.450852,2,3,0,0.384033,1.48327,2.79448,0.162151,2.34618,0.374158,0.087135,0.360551,0.384033,0.384033,0.384033,0.384033,0.374158,0.276969,0.276969,0.477226,0.477226,0.477226,0.477226,0.904266
-46.8583,0.834571,0.450852,3,7,0,0.397387,1.32326,1.51098,0.143329,1.95534,0.173208,0.105811,0.309686,0.397387,0.397387,0.397387,0.397387,0.173208,0.249231,0.249231,0.436346,0.436346,0.436346,0.436346,0.858484
