# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_one_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 959355769
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,blood.1,blood.2,blood.3,blood.4,prop
# Adaptation terminated
# Step size = 0.193936
# Diagonal elements of inverse mass matrix:
# 1.63706, 0.0746066, 0.472884, 0.0133464, 0.147909, 0.423134

-24.1531,0.921518,0.193936,2,3,0,2.33123,2.06724,1.1992,0.133722,2.3054,0.0395672,0.294981,1.62852,2.33123,2.33123,0.0395672,0.125166,0.125166,0.33046,0.33046,0.900282
-24.2421,0.977565,0.193936,5,31,0,3.2845,2.02033,1.92108,0.159521,1.32869,0.0201074,0.435564,2.80349,3.2845,3.2845,0.0201074,0.147448,0.147448,0.380327,0.380327,0.735177
-24.671,0.988777,0.193936,4,15,0,1.49892,1.43392,1.14455,0.141629,1.8791,0.0466264,0.3573,1.02171,1.49892,1.49892,0.0466264,0.132057,0.132057,0.346156,0.346156,0.847273
-29.3553,0.546392,0.193936,2,3,0,1.7227,1.35656,1.27772,0.139437,1.95039,0.0599975,0.443672,1.24263,1.7227,1.7227,0.0599975,0.130153,0.130153,0.341843,0.341843,0.857782
-26.1676,0.459277,0.193936,3,7,0,1.33016,1.4255,1.07692,0.141025,1.96647,0.0472185,0.319756,0.877051,1.33016,1.33016,0.0472185,0.131533,0.131533,0.344971,0.344971,0.86005
-25.8743,0.543341,0.193936,4,15,0,2.04874,1.44883,5.25419,0.131873,1.54543,0.0273512,0.481138,2.03804,2.04874,2.04874,0.0273512,0.123548,0.123548,0.326737,0.326737,0.78678
-25.7735,0.998345,0.193936,4,15,0,2.011,1.62354,4.96565,0.129539,1.49935,0.0233285,0.396568,1.99697,2.011,2.011,0.0233285,0.1215,0.1215,0.322006,0.322006,0.776724
-24.8923,1,0.193936,3,7,0,2.1274,1.76956,3.77243,0.131002,1.3374,0.026923,0.362528,2.07848,2.1274,2.1274,0.026923,0.122784,0.122784,0.324974,0.324974,0.737472
-26.0801,0.817838,0.193936,4,15,0,2.15119,2.14205,0.955764,0.185798,1.14682,0.0375261,0.25258,1.32402,2.15119,2.15119,0.0375261,0.169559,0.169559,0.427301,0.427301,0.682353
-27.4604,0.996348,0.193936,4,15,0,2.40644,1.80386,0.925904,0.195411,1.11795,0.0392129,0.396249,1.45307,2.40644,2.40644,0.0392129,0.177504,0.177504,0.443581,0.443581,0.673049
