lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,R0,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,params.8,params.9,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,blood.7,blood.8,prop
# Adaptation terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Step size = 0.464262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Diagonal elements of inverse mass matrix:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 0.501615,0.120071,0.243412,0.0151765,0.0200817,0.344187,,,,,,,,,,,,,,,,,,,,,,,,,
33.5301,0.96359,0.464262,3,7,0,-29.6414,1.10565,1.52607,0.737638,0.181733,0.168454,0.230629,0.0601941,0.144473,0.276896,0.276896,0.276896,0.276896,0.276896,0.276896,0.230629,0.516611,0.516611,0.516611,0.805164,0.805164,0.805164,0.805164,0.805164,0.15503
36.8146,0.983014,0.464262,3,7,0,-31.583,1.34677,1.81805,0.281817,0.146555,0.171298,0.264476,0.054755,0.082832,0.33728,0.33728,0.33728,0.33728,0.33728,0.33728,0.264476,0.443573,0.443573,0.443573,0.732596,0.732596,0.732596,0.732596,0.732596,0.15743
35.5002,0.804475,0.464262,3,15,0,-31.7074,1.0768,1.12726,0.321778,0.135762,0.158526,0.371355,0.087352,0.0741976,0.269671,0.269671,0.269671,0.269671,0.269671,0.269671,0.371355,0.419025,0.419025,0.419025,0.705317,0.705317,0.705317,0.705317,0.705317,0.1466
35.2748,0.883053,0.464262,3,7,0,-29.2422,1.0986,3.56176,0.479014,0.137829,0.195746,0.531359,0.00781061,0.104717,0.275131,0.275131,0.275131,0.275131,0.275131,0.275131,0.531359,0.423808,0.423808,0.423808,0.710748,0.710748,0.710748,0.710748,0.710748,0.177779
36.0505,0.951513,0.464262,3,7,0,-33.2148,1.09587,1.55208,0.205232,0.129913,0.182336,0.397934,0.0581298,0.0509212,0.274446,0.274446,0.274446,0.274446,0.274446,0.274446,0.397934,0.405272,0.405272,0.405272,0.689389,0.689389,0.689389,0.689389,0.689389,0.166678
36.2655,0.968296,0.464262,5,31,0,-33.6658,1.21997,3.08077,0.581477,0.123281,0.197696,0.387393,0.0140309,0.134715,0.305525,0.305525,0.305525,0.305525,0.305525,0.305525,0.387393,0.389283,0.389283,0.389283,0.670284,0.670284,0.670284,0.670284,0.670284,0.17938
36.3294,0.994986,0.464262,3,7,0,-34.2636,1.22571,1.59244,0.276733,0.126492,0.155678,0.313095,0.0624451,0.0742064,0.306964,0.306964,0.306964,0.306964,0.306964,0.306964,0.313095,0.397078,0.397078,0.397078,0.679677,0.679677,0.679677,0.679677,0.679677,0.144166
37.2259,0.972581,0.464262,3,7,0,-33.1799,1.22369,3.72214,0.392511,0.141483,0.179901,0.309581,0.00741081,0.0994885,0.306457,0.306457,0.306457,0.306457,0.306457,0.306457,0.309581,0.432169,0.432169,0.432169,0.720107,0.720107,0.720107,0.720107,0.720107,0.164647
35.4532,0.820508,0.464262,3,7,0,-32.4405,1.14439,1.25634,0.691969,0.154482,0.175372,0.21877,0.0815929,0.14313,0.286598,0.286598,0.286598,0.286598,0.286598,0.286598,0.21877,0.46094,0.46094,0.46094,0.751009,0.751009,0.751009,0.751009,0.751009,0.160855
35.728,0.979158,0.464262,3,7,0,-33.1534,1.16208,1.05333,0.395457,0.158917,0.150312,0.268923,0.101503,0.095058,0.291029,0.291029,0.291029,0.291029,0.291029,0.291029,0.268923,0.470419,0.470419,0.470419,0.760753,0.760753,0.760753,0.760753,0.760753,0.139561
